playerShort,player,club,leagueCountry,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,rater1,rater2,refCount,refCountryCount,meanIAT,seIAT,meanExp,seExp,color_rating,meanIAT_nIAT,meanExp_nExp,meanIAT_GameNbr,meanExp_GameNbr
920,226,37,3,1331,187.0,80.0,1,158,50,40,68,6,32,1,1,0.0,0.25,58,1,0.3698935941871718,0.00022948964086646402,0.5882973115445439,0.00100164730649311,2,0.3698935941871721,0.5882973115445439,0.36989359418717205,0.5882973115445442
921,1059,90,2,790,180.0,72.0,11,245,111,62,72,8,26,1,2,0.25,0.25,94,40,0.35016809280049166,0.00014584328594703799,0.46041547807832334,0.000527441425089293,2,0.3366946107524411,0.36927190151824446,0.3445643736205088,0.4011719010933187
922,1060,89,2,1129,181.0,75.0,6,87,30,25,32,7,10,1,0,1.0,1.0,58,20,0.32182354844130406,0.000150884729853696,0.32070140654868523,0.0005859663580006839,5,0.3359305742768203,0.35413803634142615,0.3288587147131007,0.3325077610836229
923,1061,59,1,560,187.0,82.0,1,216,104,61,51,11,23,0,4,1.0,1.0,76,23,0.3456390628854094,0.0032968095236196103,0.42792849798269866,0.013752210497518,5,0.3297031330731037,0.3674673919626484,0.33829023224481825,0.37321338772902724
924,1062,39,2,748,185.0,79.0,9,169,70,36,63,65,21,1,1,1.0,1.0,71,19,0.33242877095695705,9.638668990978081e-06,0.42409475270494834,3.6880224734070796e-05,5,0.3296335015379996,0.38141246775141785,0.3344175312785525,0.4516738376947995
925,230,35,3,974,175.0,72.0,7,198,75,43,80,5,50,0,1,0.25,0.5,37,7,0.36736678440651305,0.00022948964086646402,0.6019452180144164,0.00100164730649311,2,0.3663529292243609,0.5909341943158162,0.36942141256149336,0.590847677905076
926,227,75,3,1122,185.0,77.0,2,283,103,70,110,53,26,0,2,0.0,0.25,51,16,0.36639884196397915,9.83213148637282e-05,0.5909235331486641,0.000404579006949242,1,0.35254827139093814,0.4949042786675068,0.36926379785013036,0.5887705882293858
927,228,69,3,293,187.0,83.0,2,171,52,59,60,35,16,2,0,1.0,1.0,91,16,0.34392597266253994,0.000606285365051553,0.3859572945769706,0.00271720092129921,5,0.33233748225224347,0.38132154029730325,0.35224921723174196,0.44978682825400856
928,1063,11,2,589,189.0,87.0,1,421,194,99,128,35,56,1,0,0.0,0.0,109,22,0.34497653702996994,9.83213148637282e-05,0.41507207189575074,0.000404579006949242,1,0.3350740241929687,0.3617236195070002,0.33857741909657346,0.3575067364101997
929,1064,52,3,1047,174.0,65.0,4,239,90,56,93,8,68,5,4,0.0,0.0,101,24,0.36396761554506973,0.00022948964086646402,0.6248497585203768,0.00100164730649311,1,0.328021736818406,0.460880297567693,0.3615356206539711,0.6354749722148403
930,1065,12,2,1213,193.0,92.0,5,424,273,70,81,0,12,0,0,0.25,0.25,103,34,0.3465533729593819,0.0032968095236196103,0.4686933463718299,0.013752210497518,2,0.3358103497305644,0.3864768498106302,0.3421547497597451,0.39993550724010474
931,229,23,3,1113,176.0,80.0,10,438,196,104,138,2,50,1,1,0.5,0.25,109,23,0.36578770981995523,0.0032968095236196103,0.5660971902530634,0.013752210497518,2,0.3470820752437277,0.46124560494136074,0.3682323692000096,0.5796953030774313
932,1066,39,2,231,170.0,70.0,4,236,105,44,87,17,40,1,1,0.25,0.25,106,21,0.3408995237240591,0.00236241907009793,0.38448432027483254,0.0147943895966183,2,0.3358538929046836,0.34744286694463494,0.3385466553317964,0.35775861847954005
